"metaprogram","rank","gene","normalized_weight"
"MP5",77,"INTS6",0.00642795268255787
"MP5",78,"ROCK2",0.00642603040460602
"MP5",79,"PARP14",0.0064072903631715
"MP5",80,"IGF2R",0.00640103954089467
"MP5",81,"C5",0.00638284946513943
"MP5",82,"ACSL3",0.00638219056924265
"MP5",83,"FNIP1",0.00633195770291059
"MP5",84,"PRKDC",0.00624687789543087
"MP5",85,"ABHD2",0.00624218084872514
"MP5",86,"ATAD2",0.00621678670084194
"MP5",87,"MT-ND5",0.00620753382345085
"MP5",88,"MAN2A1",0.00619261170194019
"MP5",89,"MAN1A1",0.00618524419760027
"MP5",90,"IQGAP2",0.00615305301262172
"MP5",91,"PHACTR4",0.00608962832366983
"MP5",92,"GOLGB1",0.00608211750471931
"MP5",93,"SPTAN1",0.00607535099518544
"MP5",94,"TRIB1",0.00606890630182209
"MP5",95,"NFKBIZ",0.00601187797376744
"MP5",96,"CYP4F3",0.00598934816606182
"MP5",97,"UBR4",0.00598508213635956
"MP5",98,"FAM208B",0.00595248440987319
"MP5",99,"CHD4",0.00593211606218315
"MP5",100,"RDH10",0.00589007676774966
"MP5",101,"RP11-138A9.1",0.00587195824115648
"MP5",102,"LPIN3",0.00586344188320202
"MP5",103,"KANK1",0.00584665763856451
"MP5",104,"LPIN2",0.00582999441621545
"MP5",105,"TNRC6A",0.00575842267436724
"MP5",106,"ROBO1",0.00574553874660015
"MP5",107,"MDM4",0.00566270414218027
"MP5",108,"SUZ12",0.00562893117773391
"MP5",109,"DGAT1",0.00558509615554175
"MP5",110,"PAWR",0.00556513136704759
"MP5",111,"FADS2",0.00555727231510637
"MP5",112,"ABCA6",0.00553041530552591
"MP5",113,"IL6ST",0.00552874070100068
"MP5",114,"IMPAD1",0.00549426925661518
"MP5",115,"C2orf72",0.00548022891184027
"MP5",116,"JUN",0.00544417002132903
"MP5",117,"ERN1",0.00542049150083794
"MP5",118,"RNF128",0.00536867804964916
"MP5",119,"AHR",0.00536249502827264
"MP5",120,"MYH9",0.00530163623317388
"MP5",121,"ERRFI1",0.00525425034790328
"MP5",122,"TRIM24",0.00524977159795289
"MP5",123,"DTX3L",0.00524610278083732
"MP5",124,"FOXO3",0.00519527815814768
"MP5",125,"SCD",0.00519309626379183
"MP5",126,"AKAP1",0.0051842387112198
"MP5",127,"EGR1",0.00511114553572007
"MP5",128,"CP",0.00510375240340445
"MP5",129,"WDR26",0.00503120549374053
"MP5",130,"SERINC5",0.00500279349784978
"MP6",1,"HLA-DQA1",0.0260146811909896
"MP6",2,"MS4A4A",0.0251897122363071
"MP6",3,"ARHGDIB",0.0251533206429853
"MP6",4,"CD69",0.0247849774293215
"MP6",5,"GPR183",0.0235989161656381
"MP6",6,"ZNF331",0.0230413156759451
"MP6",7,"LAPTM5",0.0225448112086224
"MP6",8,"CXCR4",0.0223919890877162
"MP6",9,"HCST",0.0216057276974435
"MP6",10,"CTSS",0.0213619090084474
"MP6",11,"NR4A2",0.0203087346029382
"MP6",12,"SRGN",0.0201516944671472
"MP6",13,"FXYD5",0.0193761438707925
"MP6",14,"RGS1",0.0191176351243547
"MP6",15,"GZMA",0.0190441759342181
"MP6",16,"EVL",0.0177043074125978
"MP6",17,"LDHB",0.0176071074130685
"MP6",18,"CD44",0.0175928886030005
"MP6",19,"C1QC",0.0175820914979594
"MP6",20,"AIF1",0.0170003665560329
"MP6",21,"ANXA1",0.016896788230055
"MP6",22,"MS4A6A",0.0167731814068142
"MP6",23,"CRIP1",0.0167059849383589
"MP6",24,"HLA-DMA",0.0163336711232643
"MP6",25,"CD7",0.0160679778399102
"MP6",26,"KDM6B",0.0157925080877291
"MP6",27,"S100A4",0.0155906759576731
"MP6",28,"PLAUR",0.0152862889718987
"MP6",29,"DUSP2",0.0151960282013931
"MP6",30,"REL",0.0150316365056007
"MP6",31,"FOLR2",0.0144870825635588
"MP6",32,"HLA-DQB1",0.0135168538655852
"MP6",33,"FCGR3A",0.0134091526324327
"MP6",34,"LST1",0.013376894995771
"MP6",35,"CCL5",0.0133391396302585
"MP6",36,"C1QB",0.0132736407255769
"MP6",37,"CTSC",0.0131200716423005
"MP6",38,"HLA-DRB1",0.0130338645090577
"MP6",39,"HLA-DPB1",0.0127498840591388
"MP6",40,"IFI16",0.0123627676516494
"MP6",41,"GLIPR1",0.0122377483586766
"MP6",42,"HLA-DPA1",0.0121080694595715
